amount_requested,birth_date,status,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,payment_amount,amount_approved,duration_approved,address_zip,email,bank_routing_number,email_duration,residence_duration,bank_account_duration,payment_frequency,home_phone_type,how_use_money,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,flgGood
500,1968-03-06,Approved,1,0,1,2010-11-06 00:32:31,5,1,10,94.7,500,5,84003,EmilyDMendoza@bing.com,124302150,1 year or more,7-12 months,6 months or less,Semi-monthly,Mobile,Other,2400,544,611,609,680,617,0
500,1975-05-12,Approved,1,0,1,2010-11-06 05:35:38,5,1,10,92.17,500,5,84095,DerrickALarson@yahoo.com,324379828,4-12 months,6 months or less,6 months or less,Bi-weekly,Mobile,Other,1200,638,534,549,618,560,0
500,1974-10-31,Approved,1,89,1,2010-11-06 23:29:50,5,1,10,92.17,500,5,84067,BariJGreen@hotmail.com,124002971,1 year or more,7-12 months,3+ years,Bi-weekly,Mobile,Other,1120,762,543,563,639,598,0
500,1947-02-20,Approved,1,800,1,2010-11-08 13:08:05,5,1,5,193.91,500,5,84120,JuneLEvans@bing.com,101089742,1 year or more,3+ years,3+ years,Monthly,Home,Other,2100,661,535,576,676,593,1
500,1964-11-09,Approved,1,400,1,2010-11-08 13:28:42,5,1,5,193.91,500,5,84721,RebeccaFEvans@bing.com,114924742,1 year or more,1-2 years,3+ years,Monthly,Mobile,Other,1100,716,517,520,605,564,1
600,1967-08-30,Approved,1,220,1,2010-11-10 15:03:25,5,1,10,110.61,600,5,84532,JenniferLPhillips@hotmail.com,324377286,1 year or more,3+ years,3+ years,Bi-weekly,Home,Other,4000,765,542,580,671,620,0
300,1960-05-26,Approved,0,1143,1,2010-11-10 15:35:38,3,1,13,37.73,300,3,84655,SusanWCox@yahoo.com,124002971,1 year or more,3+ years,6 months or less,Weekly,Mobile,Other,3652,586,580,569,680,627,1
800,1961-02-24,Approved,0,891,1,2010-11-10 23:30:21,5,1,5,193.91,500,5,84062,LillianSBunger@hotmail.com,324377516,1 year or more,3+ years,3+ years,Monthly,Mobile,Other,1500,600,622,659,698,656,1
500,1986-07-22,Approved,1,0,1,2010-11-13 13:36:59,5,1,10,92.17,500,5,84057,DennisJCallison@hotmail.com,51000017,1 year or more,1-2 years,6 months or less,Bi-weekly,Mobile,Other,2400,541,531,547,680,582,1
500,1979-08-13,Approved,1,129,1,2010-11-13 14:58:26,5,1,5,193.91,500,5,84088,ElijahDBayerl@hotmail.com,124002971,1 year or more,3+ years,3+ years,Monthly,Mobile,Other,1718,734,543,570,654,598,0
700,1947-02-20,Approved,1,800,1,2010-11-13 20:32:03,5,1,5,193.91,500,5,84120,JanineRFairfield@aol.com,101089742,1 year or more,3+ years,3+ years,Monthly,Home,Other,2100,661,535,576,676,593,1
600,1989-11-04,Approved,1,0,0,2010-11-15 16:00:23,8,1,12,84.03,500,6,84095,RubyWGaines@bing.com,122238585,1 year or more,1-2 years,6 months or less,Semi-monthly,Mobile,Other,960,642,502,503,648,534,0
400,1981-02-25,Approved,1,400,1,2010-11-15 17:14:27,5,1,21,35.21,400,5,84118,HowardBMiller@aol.com,125000105,1 year or more,7-12 months,6 months or less,Weekly,Mobile,Other,1400,581,507,535,614,586,0
500,1960-06-04,Approved,0,1172,1,2010-11-15 17:14:59,5,1,5,109.18,500,5,84404,MargaretJTatum@yahoo.com,124002971,1 year or more,3+ years,1-2 years,Monthly,Home,Other,4191,766,618,623,680,631,1
500,1954-03-14,Approved,0,960,1,2010-11-15 18:47:52,5,1,5,193.91,500,5,84041,RobertNCorchado@gmail.com,324377613,1 year or more,3+ years,7-12 months,Monthly,Home,Other,3400,591,607,612,680,640,1
500,1954-03-14,Approved,0,960,1,2010-11-15 18:47:52,5,1,5,193.91,500,5,84041,RobertNCorchado@gmail.com,324377613,1 year or more,3+ years,7-12 months,Monthly,Home,Other,3400,591,607,612,680,640,1
500,1963-11-30,Approved,1,550,0,2010-11-16 15:34:40,5,1,10,92.17,500,5,84404,CharlotteLYbarra@bing.com,31101169,1 year or more,3+ years,1-2 years,Bi-weekly,Mobile,Other,1200,765,533,542,654,560,0
500,1969-11-30,Approved,0,1100,1,2010-11-16 19:56:37,5,1,10,92.17,500,5,84040,MatthewNBergeron@aol.com,124001545,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,4000,765,624,659,700,641,1
800,1978-03-26,Approved,1,200,1,2010-11-17 16:15:42,7,1,15,113.56,800,7,84098,JoseVWalker@gmail.com,124000737,1 year or more,3+ years,1-2 years,Bi-weekly,Mobile,Other,3376,808,528,550,680,601,0
500,1980-01-08,Approved,1,871,1,2010-11-18 07:19:52,5,1,10,92.17,500,5,84096,ShirleyJCheatham@bing.com,324079555,1 year or more,6 months or less,1-2 years,Bi-weekly,Mobile,Other,2040,716,540,553,650,612,0
800,1990-12-19,Approved,1,0,1,2010-11-18 22:50:02,8,1,12,84.03,500,6,84037,MiltonFJohnson@gmail.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,Other,2000,768,648,649,713,594,0
500,1968-11-18,Approved,1,700,1,2010-11-19 13:34:43,5,1,10,92.17,500,5,84721,MatthewAChristian@hotmail.com,324079555,1 year or more,6 months or less,6 months or less,Bi-weekly,Mobile,Other,1600,544,574,584,671,612,0
300,1961-12-12,Approved,0,1100,1,2010-11-19 18:18:43,5,1,10,56.82,300,5,84115,EboniWHeenan@bing.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,Other,3990,601,630,657,705,651,1
500,1970-10-14,Approved,0,0,1,2010-11-21 04:22:05,5,1,21,44.01,500,5,84655,DorothyJHeideman@gmail.com,31100209,1 year or more,6 months or less,6 months or less,Weekly,Mobile,Other,1200,716,514,532,647,566,0
800,1973-05-13,Approved,1,635,1,2010-11-21 15:24:35,6,1,26,61.22,800,6,84501,DavidLGriffith@bing.com,124000054,1 year or more,3+ years,3+ years,Weekly,Mobile,Other,3000,719,525,538,648,599,0
500,1968-03-06,Approved,1,0,1,2010-11-21 23:54:04,5,1,5,193.91,500,5,84003,RobinCMansfield@bing.com,124302150,1 year or more,7-12 months,7-12 months,Monthly,Mobile,Other,1700,544,611,609,680,617,1
500,1956-10-12,Approved,1,180,1,2010-11-22 00:05:09,5,1,10,92.17,500,5,84302,YanAMay@gmail.com,124002971,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Other,1952,550,572,599,648,607,0
500,1966-09-06,Approved,0,1508,1,2010-11-22 06:55:21,5,1,10,92.17,500,5,84093,CraigAVega@hotmail.com,324377613,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,5600,603,564,564,680,618,1
500,1958-07-06,Approved,0,0,1,2010-11-22 07:44:14,6,1,26,38.26,500,6,84092,IreneDLicon@gmail.com,324377516,1 year or more,3+ years,3+ years,Weekly,Mobile,Other,2000,638,558,605,680,617,0
500,1970-09-17,Approved,0,0,1,2010-11-22 08:58:43,6,1,13,77.39,500,6,84093,DorisTKaplan@aol.com,124000737,1 year or more,3+ years,6 months or less,Bi-weekly,Home,Other,3000,612,527,515,656,583,0
800,1950-01-12,Approved,0,0,1,2010-11-22 08:59:25,8,1,13,77.39,500,6,84014,RobertRWard@hotmail.com,324078899,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,1934,547,565,597,680,596,0
800,1961-06-20,Approved,1,450,1,2010-11-22 22:01:37,8,1,12,84.03,500,6,84115,EmilyCRoberts@bing.com,324377202,3 months or less,3+ years,3+ years,Semi-monthly,Home,Other,1600,713,532,598,580,589,1
800,1952-12-19,Approved,1,715,1,2010-11-23 04:52:40,6,1,6,171.75,500,6,84047,AmyTBush@bing.com,324079555,1 year or more,3+ years,3+ years,Monthly,Mobile,Other,2044,621,501,501,597,580,0
500,1958-09-04,Approved,1,1065,1,2010-11-23 15:19:12,5,1,10,92.17,500,5,84088,BettyRPeterson@aol.com,324377516,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Other,3066,589,535,535,648,604,0
500,1977-07-12,Approved,1,150,1,2010-11-24 16:16:36,5,1,5,193.91,500,5,84128,LindaAPerry@hotmail.com,124001545,1 year or more,1-2 years,6 months or less,Monthly,Mobile,Other,2351,763,526,544,660,561,1
800,1989-10-08,Approved,1,625,1,2010-11-24 21:16:53,8,1,13,77.39,500,6,84105,MildredBThomas@hotmail.com,324377516,1 year or more,7-12 months,3+ years,Bi-weekly,Mobile,Other,1400,716,501,536,618,543,0
500,1957-11-16,Approved,1,0,0,2010-11-26 07:25:51,5,1,10,92.17,500,5,84096,WilliamWPonce@yahoo.com,124302150,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Other,900,541,535,579,680,608,0
800,1971-02-19,Approved,1,400,0,2010-11-26 09:39:20,5,1,21,44.01,500,5,84526,NickJJackson@gmail.com,124000737,4-12 months,3+ years,6 months or less,Weekly,Mobile,Other,2000,745,501,548,644,558,0
800,1967-11-02,Approved,1,400,1,2010-11-27 06:20:37,5,1,21,44.01,500,5,84096,ChrisCHaggins@bing.com,324377516,1 year or more,6 months or less,3+ years,Weekly,Mobile,Other,2240,544,586,596,664,592,0
500,1968-09-03,Approved,1,750,1,2010-11-27 22:19:33,5,1,21,44.01,500,5,84120,EdaJRawlins@yahoo.com,124002971,1 year or more,7-12 months,1-2 years,Weekly,Mobile,Other,4000,716,507,520,660,557,0
500,1978-08-03,Approved,1,650,0,2010-11-29 04:42:53,5,1,10,92.17,500,5,84104,ClaudiaDSykes@yahoo.com,73972181,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Other,1400,763,522,535,647,576,0
400,1979-01-08,Approved,1,0,1,2010-11-29 08:17:55,8,1,13,61.91,400,6,84067,GregorySStewart@yahoo.com,124002971,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,1200,546,559,616,643,601,1
800,1983-08-13,Approved,1,700,0,2010-11-29 11:22:38,3,1,6,221.57,800,3,84020,NannieLBoice@yahoo.com,124000054,1 year or more,3+ years,1-2 years,Semi-monthly,Mobile,Other,2700,660,549,565,663,585,0
800,1967-04-06,Approved,1,530,1,2010-11-30 14:33:56,3,1,3,284.69,500,3,84128,MaryWCook@hotmail.com,324377516,4-12 months,6 months or less,6 months or less,Monthly,Mobile,Other,900,732,516,557,656,583,1
500,1978-10-09,Approved,1,475,0,2010-11-30 22:05:00,5,1,21,44.01,500,5,84118,RichardJSavage@bing.com,122238585,1 year or more,3+ years,7-12 months,Weekly,Home,Other,2400,541,510,539,630,589,0
300,1957-09-19,Approved,0,600,1,2010-12-01 09:33:12,5,1,10,55.3,300,5,84066,LindaRRodriguez@yahoo.com,324379705,1 year or more,3+ years,1-2 years,Bi-weekly,Mobile,Other,1400,574,560,581,680,616,1
800,1954-05-13,Approved,1,600,1,2010-12-02 08:20:43,6,1,13,77.39,500,6,84660,MaryCForster@yahoo.com,324379763,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,2042,544,618,657,708,639,0
500,1981-05-21,Approved,0,0,1,2010-12-03 17:10:45,5,1,10,92.17,500,5,84120,LarryKBarnes@bing.com,124001545,4-12 months,3+ years,6 months or less,Bi-weekly,Mobile,Other,3152,577,501,525,632,564,1
800,1981-01-01,Approved,1,200,1,2010-12-04 13:47:34,6,1,12,134.45,800,6,84088,EulaHMoeller@yahoo.com,324377202,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,Other,2200,734,544,556,680,589,1
500,1966-08-10,Approved,1,400,1,2010-12-04 19:18:46,5,1,10,92.17,500,5,84084,DennisABell@gmail.com,124002971,1 year or more,6 months or less,3+ years,Bi-weekly,Mobile,Other,1600,716,546,540,657,590,1
700,1968-06-15,Approved,1,635,1,2010-12-06 18:51:16,8,1,17,92.64,700,8,84120,EvaGWilson@yahoo.com,124000054,1 year or more,7-12 months,3+ years,Bi-weekly,Mobile,Other,1514,713,522,548,622,607,0
800,1982-04-02,Approved,0,0,0,2010-12-07 10:54:25,6,1,13,123.82,800,6,84501,AliceCBateman@hotmail.com,324079539,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,1100,719,621,692,731,618,0
500,1973-08-12,Approved,1,1250,1,2010-12-08 18:56:31,5,1,21,44.01,500,5,84606,JoanDBaze@hotmail.com,324079500,1 year or more,1-2 years,1-2 years,Weekly,Home,Other,6000,663,618,682,703,630,1
500,1972-12-30,Approved,0,450,1,2010-12-09 09:42:37,5,1,10,94.7,500,5,84118,EugeniaDSmith@aol.com,124002971,1 year or more,3+ years,1-2 years,Semi-monthly,Mobile,Other,2200,661,547,580,676,612,0
700,1981-06-04,Approved,1,300,1,2010-12-09 09:55:56,8,1,34,45.86,700,8,84044,KimTWoodall@aol.com,324377202,1 year or more,1-2 years,1-2 years,Weekly,Mobile,Other,1550,733,557,587,656,604,1
500,1974-11-12,Approved,1,600,1,2010-12-09 13:06:45,5,1,10,92.17,500,5,84015,BryceEChurchill@yahoo.com,324377516,1 year or more,1-2 years,7-12 months,Bi-weekly,Mobile,Other,2460,530,599,644,673,627,0
800,1970-09-11,Approved,0,1000,1,2010-12-10 22:08:48,8,1,13,77.39,500,6,84067,MarionJHarris@yahoo.com,124001545,1 year or more,3+ years,7-12 months,Bi-weekly,Mobile,Other,2200,612,679,718,756,618,0
800,1966-04-29,Approved,0,1050,1,2010-12-11 11:31:09,8,1,16,113.77,800,8,84067,JoniKSalter@hotmail.com,324377516,1 year or more,3+ years,3+ years,Semi-monthly,Mobile,Other,4800,765,614,655,684,627,1
300,1984-09-21,Approved,1,500,0,2010-12-12 10:31:06,8,1,12,50.42,300,6,84119,EugeneNHartmann@yahoo.com,124001545,1 year or more,1-2 years,1-2 years,Semi-monthly,Mobile,Other,2200,759,531,579,608,559,0
800,1984-04-01,Approved,1,200,1,2010-12-11 12:29:11,8,1,13,77.39,500,6,84044,LouiseWCrouse@yahoo.com,324377516,1 year or more,1-2 years,7-12 months,Bi-weekly,Home,Other,1800,559,550,635,631,592,1
500,1971-03-17,Approved,0,250,1,2010-12-11 13:46:57,5,1,5,193.91,500,5,84404,DebraHSparks@gmail.com,73972181,1 year or more,3+ years,7-12 months,Monthly,Home,Other,2102,599,568,588,659,580,1
600,1983-08-17,Approved,1,425,1,2010-12-11 13:58:14,5,1,10,92.17,500,5,84123,VickieMLewis@aol.com,324379828,1 year or more,6 months or less,3+ years,Bi-weekly,Mobile,Other,1800,734,515,501,632,567,1
800,1963-02-13,Approved,1,800,1,2010-12-11 23:31:12,4,1,17,81.87,800,4,84120,HaroldMOReilly@hotmail.com,324377516,1 year or more,3+ years,3+ years,Weekly,Mobile,Other,1980,582,561,599,680,633,0
500,1968-08-09,Approved,1,850,1,2010-12-12 14:49:05,5,1,10,92.17,500,5,84118,WillieMBrown@bing.com,124002971,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,1900,639,534,607,608,558,0
500,1969-03-23,Approved,1,900,1,2010-12-13 07:21:00,5,1,10,92.17,500,5,84075,JanetCHarrell@gmail.com,124000737,1 year or more,3+ years,3+ years,Bi-weekly,Home,Other,3400,602,603,643,671,606,0
500,1977-07-10,Approved,1,0,1,2010-12-13 12:47:36,5,1,21,44.01,500,5,84065,KevinKMiller@bing.com,122244171,1 year or more,1-2 years,6 months or less,Weekly,Mobile,Other,1200,664,509,517,564,588,0
800,1970-10-10,Approved,0,1400,1,2010-12-13 14:54:29,5,1,10,147.47,800,5,84074,LawrenceCDonato@aol.com,324379828,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,3100,678,569,585,680,631,0
500,1971-12-08,Approved,0,676,1,2010-12-14 08:22:47,5,1,10,92.17,500,5,84414,DarleneTOrtega@yahoo.com,124001545,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Other,2392,780,559,540,660,581,0
800,1964-08-07,Approved,0,1216,1,2010-12-14 12:06:44,5,1,5,193.91,500,5,84414,SuzyPPrice@aol.com,124000054,1 year or more,3+ years,3+ years,Monthly,Home,Other,4703,542,603,590,680,637,0
800,1972-08-13,Approved,1,500,1,2010-12-14 15:36:30,8,1,17,105.88,800,8,84117,JohnRTalbot@hotmail.com,324079555,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,3780,765,632,650,705,627,1
600,1951-02-26,Approved,1,500,1,2010-12-14 19:41:07,8,1,13,77.39,500,6,84043,CurtisHWyatt@aol.com,124302150,1 year or more,6 months or less,3+ years,Bi-weekly,Mobile,Other,2400,660,581,591,680,617,1
600,1951-02-26,Approved,1,500,1,2010-12-14 19:41:07,8,1,13,77.39,500,6,84043,CurtisHWyatt@aol.com,124302150,1 year or more,6 months or less,3+ years,Bi-weekly,Mobile,Other,2400,660,581,591,680,617,0
800,1976-06-28,Approved,1,1000,1,2010-12-14 21:09:49,3,1,13,62.88,500,3,84321,MarilynGJesse@yahoo.com,124000737,1 year or more,1-2 years,1-2 years,Weekly,Mobile,Other,1880,521,586,636,678,609,0
500,1971-12-09,Approved,1,450,1,2010-12-15 12:36:52,8,1,12,84.03,500,6,84123,PokDBrock@aol.com,124000054,3 months or less,3+ years,3+ years,Semi-monthly,Mobile,Other,2328,573,612,649,682,618,1
500,1971-12-09,Approved,1,450,1,2010-12-15 12:36:52,8,1,12,84.03,500,6,84123,PokDBrock@aol.com,124000054,3 months or less,3+ years,3+ years,Semi-monthly,Mobile,Other,2328,573,612,649,682,618,1
500,1961-08-15,Approved,1,585,1,2010-12-16 08:28:30,5,1,21,44.01,500,5,84321,JanDThompson@hotmail.com,124000054,1 year or more,7-12 months,7-12 months,Weekly,Mobile,Other,2200,763,540,565,673,599,0
800,1975-12-31,Approved,1,200,1,2010-12-16 12:43:18,8,1,12,84.03,500,6,84119,AmandaWStephens@gmail.com,124001545,1 year or more,3+ years,1-2 years,Semi-monthly,Mobile,Other,2550,663,508,501,641,583,0
400,1954-08-16,Approved,1,400,1,2010-12-16 16:32:50,8,1,6,137.4,400,6,84003,RonaldAKnox@yahoo.com,124302150,1 year or more,3+ years,3+ years,Monthly,Mobile,Other,1912,593,601,640,645,614,1
500,1958-11-05,Approved,0,1050,0,2010-12-16 19:09:58,5,1,10,92.17,500,5,84074,MaryBLangston@bing.com,124000737,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,2720,567,546,555,680,594,1
300,1971-05-14,Approved,1,600,1,2010-12-17 05:02:24,5,1,10,55.3,300,5,84047,RogerMVermillion@bing.com,324377516,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,1800,555,511,514,634,579,1
300,1971-05-14,Approved,1,600,1,2010-12-17 05:02:24,5,1,10,55.3,300,5,84047,RogerMVermillion@bing.com,324377516,1 year or more,3+ years,3+ years,Bi-weekly,Mobile,Other,1800,555,511,514,634,579,1
500,1968-01-13,Approved,1,750,1,2010-12-17 07:05:56,5,1,10,92.17,500,5,84107,GeorgeannDPorter@aol.com,124302150,1 year or more,6 months or less,3+ years,Bi-weekly,Mobile,Other,960,754,529,519,649,595,1
800,1968-03-07,Approved,0,734,1,2010-12-17 08:54:12,5,1,10,92.17,500,5,84120,DarlenePJohnson@bing.com,124002971,1 year or more,3+ years,6 months or less,Bi-weekly,Mobile,Other,2500,602,514,550,573,580,0
800,1974-05-03,Approved,0,954,1,2010-12-17 10:34:02,8,1,8,231.76,800,8,84405,EthelKWilliams@aol.com,324377613,1 year or more,3+ years,3+ years,Monthly,Mobile,Other,3100,754,587,573,680,626,0
500,1983-04-08,Approved,1,0,0,2010-12-17 12:36:17,8,1,17,66.17,500,8,84081,VanessaLWhite@aol.com,324377516,1 year or more,1-2 years,3+ years,Bi-weekly,Mobile,Other,700,760,646,674,740,632,1
500,1983-07-05,Approved,1,400,0,2010-12-17 15:05:42,5,1,10,92.17,500,5,84088,SamanthaHCosta@yahoo.com,324377202,1 year or more,1-2 years,3+ years,Bi-weekly,Mobile,Other,2200,734,510,556,653,569,0
500,1988-02-16,Approved,1,370,1,2010-12-17 17:42:17,8,1,12,84.03,500,6,84121,KimberlyTPayne@aol.com,124302150,1 year or more,7-12 months,7-12 months,Semi-monthly,Home,Other,1580,663,501,533,643,555,0
800,1967-11-04,Approved,0,1350,1,2010-12-18 09:15:14,6,1,13,123.82,800,6,84074,EmilieJTurner@yahoo.com,324379828,4-12 months,3+ years,3+ years,Bi-weekly,Mobile,Other,3000,602,624,645,681,641,0
300,1947-02-12,Approved,0,888,0,2010-12-18 10:48:05,5,1,5,116.34,300,5,84041,MistieTGatewood@yahoo.com,124302150,1 year or more,3+ years,3+ years,Monthly,Mobile,Other,1224,522,593,592,680,620,0
